"","x"
"39","Remember the last time wuhan announced lockdown? Nag alisan mga residents and visitors nila because of fear.

Now it's happening again in manila 

Good thing Philippines are separated island country goodluck sa mga government officials it's time gawin nyo duty nyo sa Philippines."
"40","Philippines pls for your own health don’t compate everything to martial law lmao other countries are in lockdown too. Kalma ng onti "
"41","Other countries: Follows the lockdown
Some other part of the Philippines: “Duterte uses COVID para magkaka martial law” <U+0001F926><U+0001F3FB><U+200D><U+2642><U+FE0F>"
"42","shittttt is the release of animal crossing be delayed in the philippines because of the lockdown in manila?"
"43","If you still won't cooperate and be that know-it-all sige reklamo group of people here in the Philippines, I won't be surprise if mag ma-martial law ang president bc grabe niyo ka samok. LOCKDOWN meaning BAWAL KAYONG LUMBAS GIRL just to avoid further spreading of the disease <U+0001F926><U+200D><U+2640><U+FE0F> "
"44","What's happening in the Philippines now is basically Spider-Man PS4

Devil's Breath = Coronavirus
Mayor Osborn unleashing Sable International in response = Duterte imposing a curfew and lockdown"
"45","And the Philippines is having a lockdown and curfew 

((lowkey segway to martial law imo)) "
"46","Reports that NLEX are packed of people going out of Metro Manila hours before the “lockdown” — so instead of containing the virus, this announcement actually dispersed it throughout Northern Philippines instead. 

How frustrating can this incompetence get!"
"47","We have been told not to travel from both the Gov of Australia and Philippines. A monthlong lockdown in Manila starts tomorrow where all domestic flights are cancelled. 
"
"48","We get you, Italy! Really. But unfortunately, Philippines cannot afford a lockdown. Coz by then, our politicians here will be busy pocketing the nation’s money while Filipinos will die of hunger in their homes. <U+0001F60C>"
"49","I was in the Philippines during the Marco era when a curfew was imposed under martial law but that was only from midnight to 5 a.m. 

It did not apply to us on American military bases at that time.
"
"50","no one should ever wish for a lockdown. there are countries dealing with this pandemic without having to impose a lockdown such as Singapore. imposing a lockdown would be a result of an incompetent government such as what we have here in the Philippines."
"51","TMI: Manila lockdown will start at 12mn later and here I am risking my life on my way to the south of Philippines with few minutes gap to my return flight. Istg if I can’t return safely I’ll curse my Client non-stop. "
"52","Philippines to impose 8pm-5am curfew on non-essential travel around Metro Manila; malls asked to shut department stores, cinemas, except groceries, pharmacies; goal is to restrict movement to make lockdown effective. "
"53","In the Philippines: Unprecedented move threatens livelihoods and health of millions of Metro Manila residents  "
"54","Philippines' Duterte Announces 'Lockdown' of Manila to Fight Coronavirus "
"55","President Duterte announced strict immigration curbs and a halt on domestic land, sea and air travel to and from Manila, in what he called a ""lockdown"" of the capital to arrest the spread of coronavirus.
"
"56","WATCH: Panic buying at a supermarket in Manila, the Philippines, on March 12 as the country goes into lockdown over the coronavirus.
"
"57","Cancelled our flight to the Philippines bc Manila’s gonna be on lockdown due to the corona virus outbreak ://"
"58","Coronavirus lockdown strikes fear among Manila's poor | Philippines - "
"59","Due to the coronavirus, Philippine government announced a Metro Manila Lockdown. We highly suggest that everyone must change flights, refund bookings, or postpone trip. Despite of the crisis happening in the Philippines, we are still continuing our services within Metro Manila. "
"60","Philippines restricts travel in, out of Metro Manila to contain COVID-19:"
"61","Coronavirus lockdown strikes fear among Manila’s poor | Philippines News "
"62","Philippines Cancels Masses in Manila amid Coronavirus Lockdown - Release from Bishops
"
"63","Philippines Cancels Masses in Manila amid Coronavirus Lockdown - Release from Bishops - "
"64","Currently here at the philippines right now for work <U+0001F4B5><U+0001F525> actually tomorrow is my flight to NC but philippines had been lockdown the airports and cancelled all the flights  because if the corona virus<U+0001F62A><U+0001F4A6>
 "
"65","USA: State of emergency
Spain: State of emergency
Hungary: State of emergency
China: Lock down
Denmark: Lockdown
Poland: Lockdown
Italy: Lockdown
France: Close schools
Germany: Close schools 
South Korea: Mass testing
Philippines - KANTOT, Jakol, Pakyu"
"66","Philippines puts capital on lockdown due to coronavirus fears "
"67","Philippines puts capital on lockdown due to coronavirus fears "
"68","The suspension of flight is for domestic only during Metro Manila’s one-month Community Quarantine. 

NAIA will remain open for international flights but passengers must be from and are going to stay in Metro Manila, says Secretary Nograles. "
"69","Italy just reported that deaths in last 24 hours was 1255, up from 250 the day before. Lockdown is the only solution: Saudi, Philippines. Singapore has stopped all cruise ships from docking. After summer fires, this will be his next mistake. Level 4 - do not travel NOW too."
"70","i’m frustrated bc my parents are in the philippines rn and manila is on lockdown; how are they gonna get home? :("
"71","Lockdown in manila means I can't interview developers living in near manila directly. LIVE UPDATES: Metro Manila to be placed on 'lockdown' amid COVID-19 outbreak "
"72","I left the Metro to stay at my hometown. They say family is everything and I cannot afford to be separated from my family during this troubled times. I hear all the nasty rumors about this admin and feel this lockdown thing is very scary. God bless the Philippines."
"73","LATE NIGHT CONVERSATIONS WITH ALDI

So my social life is on hold, not really.

"
"74","Some schools/universities are also closed down. My Mom is currently in the Philippines and is supposed to come home on Tuesday, but the Pres. of the PH put Metro Manila on lockdown and I am so worried for her. She might not come home for months...."
"75","thank god my mom came home safe from the philippines before manila was on lockdown but omfg my mares are giving us a hard time, refusing to see us in fear of the virus"
"76","• Italy  lockdown
• America - lockdown
• China - lockdown
• Iran - lockdown
• Japan - lockdown
• Saudi Arabia - lockdown
• Mongolia  - Lockdown
• Philippines - Lockdown

• Indonesia - dont forget to wash your hand.. ojo lali to le

"
"77","LIVE UPDATES: Metro Manila to be placed on 'lockdown' amid COVID-19 outbreak "
"78","Business as usual sa ofc kahit may lockdown. No changes at all.
No adjustment sa schedule na 1am ang uwian. Cavite - Makati - Cavite.  I have to work to live but I have to risk my life for this <U+0001F603>  <U+0001F3B5> Isn't ironic? <U+0001F3B5> "
"79","Air vistara has also banned Kunal now till the 27th April,  It's okay Man , Just imagine  you are in Philippines and your in lockdown country u can't fly just enjoy at home. <U+0001F60A> "
"80","Air vistara has also banned Kunal now till the 27th April,  It's okay Man , Just imagine  you are in Philippines and your in lockdown country u can't fly just enjoy at home. <U+0001F60A> "
"81","No more slaughter in the streets? 
Philippines President Duterte Orders Lockdown in Manila Amid Coronavirus Pandemic "
"82","62 confirmed cases
5 deaths
Manila lockdown
Schools and universities of selected provinces are suspended from 16th march to 12th April <U+0001F625>

"
"83","Can’t wait for EP4 of "
"84","Philippines' Duterte announces 'lockdown' of Manila to fight coronavirus "
"85","I appreciate the genorousity but how about us? Us? Philippines under state of calamity and lockdown? C’mon! "
"86","Panic in Metro Manila as people try to get in and out of the city on eve of 30-day lockdown starting this weekend. Pres Rodrigo Duterte announced the city-wide quarantine Thursday night to address rising cases of COVID-19 and raised Philippines alert level to Code Red Sub-level 2 "
"87","Setting up lockdown measures in various cities around the Philippines can probably help contain the spread of pathogens. But looking it from another perspective, it can be a trial-run for a Martial Law. "
"88","the way a lockdown is the most effective way to control this pandemic but i know its gonna be hell for the philippines and be used as an advantage by the president... it’s a sad time my friends"
"89","BREAKING: "
"90","Lockdown Countdown. "
"91","So my son is stuck in the Philippines, trying to get home before the lockdown in Manila....I need a drink!
"
"92","It infected hundred thousands of people from different sides of the world. Many countries have announced lockdown already. Including my country, Philippines, that implemented lockdown in the capital region."
"93","So i just realize that if its lockdown here in philippines then delivery would stop meaning animal crossing wont arrive on march 20 im so sad ;((( "
"94","Manila, a city of thirteen million people in the Philippines, has entered a month long community lockdown with all domestic travel and mass gatherings banned.

"
"95","Philippines' Duterte announces 'lockdown' of Manila to fight "
"96","Philippines' Duterte announces 'lockdown' of Manila to fight coronavirus "
"97","As if i don't have enough stress as it is trying to leave the Philippines before it goes into lockdown my bf has said when I get in hanoi he wants me to isolate myself for 7 days so i dont give him n his family the virus :))) hahaha a mean fair enough but how rude"
"98","The Philippines has 50 cases of coronavirus but its President has put the capital of Manila,with its  13million residents, on a lockdown for a month.Trapping some tourists within. <U+0001F62C> damn if you do,damn if you don’t."
"99","My family and I will most likely go to the Philippines in June instead of next month bc of all this coronavirus happening 14 cities are currently on lockdown. At least I can save up more for SMASH and Madfest Melb this time LOL. tix + accom <U+0001F44C>"
"100","Philippines' Duterte announces 'lockdown' of Manila to fight... "
"101","Spain,France, Belgium,Portugal,
Bolivia, Philippines,Ireland: schools all closed

Italy: Lockdown
Norway: Lockdown
China: Lockdown
Denmark: Lockdown

Boris:”Sorry chaps, the economy is more important, some of your family is going to die but keeps washing your hands”"
"102","Philippines' Duterte announces 'lockdown' of Manila to fight coronavirus 

"
"103","Philippines' Duterte announces 'lockdown' of Manila to fight coronavirus "
"104","Some members of the House of Representatives frowned at calls to place Metro Manila under lockdown, amid the rapid rise of "
"105","Anders Corr, Journal of Political Risk: Lockdown is controversial and problematic because people who are infected may flee and infect others throughout the Philippines. "
"106","Philippines restricts travel in, out of Metro Manila to contain "
"107","I wanna buy TOTM sequel but my TOTM album that I ordered end of January still hasn't arrived due to COVID19 and since Manila's on lockdown I feel like it's just gonna get delayed too <U+0001F62D><U+0001F62D><U+0001F62D><U+0001F62D>
 I mean my NeoZone album's delayed too <U+0001F62D>
I truly do hate living in the Philippines"
"108","Philippines: 50 cases, schools r closed. Capital Manila is on lockdown
Ireland: 70 cases, Schools r closed
Bolivia: 3 cases, schools r closed
HongKong: 130 cases, Schools r closed

Not every country have the luxury to fight corona in the exact similar way you idiot.. "
"109","Breaking. 

The Philippines will go into total lockdown for 30 days as of 15 th March. 

All sea, land and airports will be closed. 

Manila is in lockdown too. Unless you work or live in the Capitol there is no entry. 

"
"110","Workers are restive over the lack of guidelines on company lockdowns and paid quarantine periods amid the spread of coronavirus disease COVID-19, according to the Trade Union Congress of the Philippines (TUCP). | "
"111","Philippines President Duterte places the capital region on a lockdown for a month to help contain the outbreak of the coronavirus "
"112","Salute to our police force. PH govt should protect our doctors, nurses, military and police, civilians who are willing to risk their lives to contain the spread of the virus. Those who think lockdown is martial law, you’re insane! "
"113","“Philippine President Rodrigo Duterte announced plans on Thursday (Mar 12) for a sweeping lockdown of the capital's 12 million people, including a halt to domestic travel, in a bid to contain the deadly new coronavirus” "
"114","January 2020 - Wildfire in Australia
February 2020 - Volcanic eruptions, earthquakes, and plane crash
March 2020 - Corona Virus, Bird flu, No graduation.

Ano pa ba ang dadating? Pwede bang irestart yung 2020?

"
"115","COVID-19 is the worst public health crisis in a century. Countries enforce mass closures to stem spread.
After China, Italy, Denmark
Philippines announced lockdown on Metro Manila
&amp; Spain announced lockdown
on 4 cities. Only lockdown slows its spread.
"
"116","Land, domestic air, and domestic sea travel to and from Metro Manila shall be suspended beginning March 15, 2020 until April 14, 2020 subject to the daily review of the inter-agency task force, President Duterte says during his address on "
"117","Philippine authorities on Thursday placed Metro Manila under quarantine, halting travel in and out of the capital region for a month from March 15 until April 14, 2020. "
"118","Philippines restricts travel in, out of Metro Manila to contain "
"119","Omg I was supposed to go to the Philippines on Monday for my cousins wedding but now the whole trip and wedding is cancelled because of corona virus lockdown <U+0001F62D>"
"120","President Duterte orders lockdown of Philippine capital Manila to fight ... "
"121","Philippines President Duterte places the capital region on a lockdown for a month to help contain the outbreak of the coronavirus "
"122","LIVE UPDATES: Metro Manila to be placed on 'lockdown' amid COVID-19 outbreak "
"123","there is a possibility that the economic crisis in 2008 could happen again. China as the most credible market player must do a lockdown, as well as Italy, the Philippines, and even Denmark who have never done this before. many events and activities were eventually suspended"
"124","LATEST BREAKING NEWS! "
"125","India, lockdown entire country, deny incoming foreign traveler. Philippines, lockdown entire country, deny incoming foreign traveler. Saudi, lockdown entire country, deny incoming foreign traveler. Indonesia? “Come here, cheap domestic flight, Yogya is Covid-19 free!”"
"126","BREAKING: Health Secretary Francisco Duque raises the possibility of declaring a localized lockdown on areas with significant number of coronavirus cases "
"127","“For Manila, some say, ‘We don’t want to use that term’...because you’re afraid to call it a lockdown. But it’s a lockdown,” Duterte said.
"
"128","Philippines' Duterte announces 'lockdown' of Manila to fight coronavirus "
"129","Philippines' Duterte announces 'lockdown' of Manila to fight coronavirus "
"130","In the midst of Covid19 pandemic, almost half of the country in the world declares total lockdown, while Philippines would rather choose to loose its people than loosing profits and all if they will declare total lockdown for the country."
"131","Asia Chaos :

"
"132","The dumbest thing I've heard in this pandemic era is from a MAYOR "
"133","Went for my weekly grocery run at 9 AM and this is what I found.

Panic buying in Manila Philippines. We are in lockdown. No one in or out of the capital. "
"134","Confusions arises with regards to PRRD announcement of lockdown, guidelines will tackled today, let us not create panic its only for preventing the disease, let us all cooperate its our own good naman,  we have to understand, I know first time ito to happened in the Philippines."
"135","It’s official the Philippines (mostly Manila) is going under lockdown on the 15th of march till April 12 because of the threat of covid-19"
"136","'Land, domestic air and domestic sea travel to and from Metro "
"137","MEDIA ALERT: As "
"138","I think the Philippines can't be put on a total and complete lockdown because the government is not equipped with everything needed to keep functioning as a country when it happens. I seriously think that we don't have a budget alloted for emergency cases like this one."
"139","Ohh mah gad corona virus got in to the philippines lockdown CRAP stay safe everyone "
"140","Philippines restricts travel in, out of Metro Manila to contain COVID-19 | ABS-CBN News "
"141","Philippines restricts travel in, out of Metro Manila to contain COVID-19 "
"142","Philippines: BREAKING: Duterte Discusses Measures to Combat COVID-19, NCR to Undergo Lockdown "
"143","LIVE UPDATES: Metro Manila placed on lockdown amid COVID-19 outbreak "
"144","Other countries who had lockdown imposed : Obeys, no complaints, knwos its for their own good

Philippines: MARTIAL LAW na! Ginagamit lang na rason ang COVID 

<U+0001F926><U+200D><U+2640><U+FE0F><U+0001F926><U+200D><U+2640><U+FE0F><U+0001F926><U+200D><U+2640><U+FE0F> "
"145","Lockdown in Manila might mean my parents won't even be able to return to Philippines (from Singapore) and leave to come back to the US. Ugh...."
"146","Other countries: Supporting each other to fight against the virus
Philippines: Pagalingan kung “Lockdown” ba o “Quarantine” ang tamang term. Fighting each other. Attacking each other.

Corona Virus <U+0001F9A0>:
Immune System:
Other Countries:"
"147","Lolol y’all can mess around and get cheap flights with everything happening but watch your asses get stuck in a foreign country <U+0001F480>

My dad had to go to the Philippines but now he’s stuck in Manila longer because they’re on lockdown till next month"
"148","So going back now the philippines has a total of 49 cases accdg to Manila Bulletin. Last night, the president implemented a community quarantine, meaning hindi total lockdown so people can still go around the city, but travel in and out MM is prohibited starting 03/15 to 04/14 "
"149","Reuters: ""As of today, the Philippine Mission is in lockdown, and all personnel are instructed to self-quarantine and to seek medical attention should they develop the symptoms...,"" wrote Philippines acting UN Ambassador Kira Azucena in a message seen by Reuters

"
"150","Philippines may impose "
"151","METRO MANILA placed LOCKDOWN due to CORONAVIRUS OUTBREAK. President Rodrigo Duterte will place Metro Manila on lockdown for at least 30 days to contain the spread of the novel coronavirus in the Philippines. Code Red Sublevel 2 Thursday, March 12

"
"152","Big rash of flight cancellations involving Hong Kong today.

Story is American Airlines cancelled all HK-US flights into the summer, plus the Philippines lockdown shut down anything even stopping over in Manila."
"153","What if Corona virus and some viruses and bacteria are natural defense mechanism ng Earth. We, the humans are actually the threat (disease). "
"154","Hong Kong on the point of violent revolution. Beijing lost control. Then virus emerged in Wuhan (local lab) &amp; the uprising on HK is over. 5 chinese (tourists?!) caught in Philippines as carriers, = PI Nr.lockdown. African Swine Fever came in Philippines via China? Bio-weapons?! "
"155","Philippines' Duterte announces 'lockdown' of Manila to fight coronavirus "
"156","Where are my fellow Cebuanos at? Are we really just gonna sit here and wait? How can we have someone listen and start with the preventive measures? Who will listen to us? "
"157","Cancellation of work...<U+0001F614>
In short NO WORK NO PAY!!!

PLS.... CANCEL YEAR 2020 <U+0001F64F>
Pray Always <U+0001F64F><U+0001F64F>

"
"158","Land, domestic air and domestic sea travel to and from Metro Manila will be suspended starting March 15, and mass gatherings have been banned.
"
"159","On a day when Denmark, Ireland, Belgium and the Philippines put countries in lockdown, the US stops international flights from affected countries.... the UK bans school trips abroad and asks people over 70 or sick not to go on cruises...
"
"160","Philippines lockdown to fight "
"161","we had to reschedule our Philippines trip because they’re in a lockdown so we decided to go to Disneyland AND I FIND OUT TODAY THAT THEYRE CLOSING FOR THE REST OF THE MONTH IM PISSSSSSED THIS WHOLE VIRUS HAS TO GO IM DONE JUST WASH YOUR HANDS DAMNIT"
"162","Philippines' Duterte announces 'lockdown' of Manila to fight coronavirus "
"163","Philippines President Duterte puts Metro Manila on lockdown due to coronavirus; travel in and out of the capital will be prohibited from Sunday and mass gatherings are banned"
"164","Land, domestic air, and domestic sea travel to and from Metro Manila shall be suspended beginning March 15, 2020 until April 14, 2020 subject to the daily review of the inter-agency task force, President Duterte says during his address on "
"165","National Capital Region (Manila and local cities) will shorly be in lockdown to prevent spread of COVID-19 in Philippines. My trips to UK and Japan booked in January are cancelled. Can't even drive down to Manila. 52 cases so far. Govt being very proactive."
"166","Philippines' Duterte Announces 'Lockdown' of Manila to Fight Coronavirus "
"167","Coronavirus rly be stressing me out lmao. I hope my flights get cancelled, the capital city of Philippines is on lockdown <U+0001F605>"
"168","Philippines' Duterte announces 'lockdown' of Manila to fight coronavirus "
"169","RUSSIA TODAY reported: Duterte puts Philippines capital on lockdown ‘to stop spread of coronavirus’  "
"170","Dr. Tony Leachon said 1 mth ago Philippines should have restricted travel when China went on lockdown. Says W.H.O too lax in travel advisories - Canada agreed w W.H.O. Now Canadian PM &amp; NDP leader has exposed Parliament to "
"171","1. The philippines capital (where I am now) is under lockdown, no one enters or leave the country by land,sea or air"
"172","Philippines' Duterte announces 'lockdown' of Manila to fight coronavirus "
"173","Philippines' Duterte announces 'lockdown' of Manila to fight coronavirus "
"174","FUCK CORONAVIRUS. my home country philippines is on lockdown and all my relatives are there bro."
"175","Italy is in nationwide lockdown, America announced its 30-day suspension of travel from Europe, the president of the Philippines is announcing Manila lockdown... is the world soon to be isolated damn"
"176","What is wrong with this picture?
"
"177","DUTERTE: DON'T GO IN CROWDED AREA 

PHILIPPINES:

PHOTO NOT MINE.
"
"178","Manila is not on lockdown, it's under community quarantine, There's no struggle of power, it is a matter of protecting &amp; defending you from corona. Rappler as usual is spreading mass hysteria to the gullible foreigners. "
"179","Metro Manila placed in a citywide lockdown amid COVID-19 scare, effective March 15 "
"180","Philippines President Duterte places the capital region on a lockdown for a month to help contain the outbreak of the coronavirus "
"181","Covid-19 ; Philippines Capital city Manila on a lockdown. Travel to and from the city by air, land and sea suspended from March 15 - April 14.
Local airlines "
"182","Philippines President Duterte places the capital region on a lockdown for a month to help contain the outbreak of the coronavirus "
"183","Philippines' Duterte announces 'lockdown' of Manila to fight coronavirus "
"184","Philippines' Duterte announces 'lockdown' of Manila to fight coronavirus "
"185","President Rodrigo Duterte just declared a lockdown of Metro Manila amid rising cases of coronavirus in the Philippines. Travel to and from the region and mass public gatherings will be banned.

"
"186","Online classes 
Manila lockdown
School suspension 
Travel ban

Man philippines needs prayers <U+0001F62D><U+0001F62D>"
"187","Philippines' Duterte announces 'lockdown' of Manila to fight... "
"188","putting manila on lockdown just means that the president of the philippines is fucking uneducated"
"189","While everyone is anxious and panicky in the Philippines, I’m still adjusting to the cold Saskatchewan weather. It’s currently snowing where I am at minus 8 degrees. I’m worried about flying home to Manila in 11 days with a month-long lockdown in place. "
"190","places emphasis on military and police personnel to the neglect of health services and worker protection "
"191","So apparently, Philippines is on lockdown mode due to 2019 novel corona virus.

And I can't go to my province to visit my auntie <U+0001F62D><U+0001F62D><U+0001F62D>

Agree that screw / fuck corona virus."
"192","I can relate. My wife might be stuck in the Philippines for a month, because they're going on lockdown a day before her flight out. All depends if she can get to Manila and get out of there in a day. "
"193","Philippines President Duterte places the capital region on a lockdown for a month to help contain the outbreak of the coronavirus "
"194","The stigma of martial law on the Philippines will one day kill us <U+0001F611> It is a freaking lockdown FOR THE VIRUS NOT TO SPREAD "
"195","South China Morning Post
Land, domestic air and domestic sea travel to and from Metro Manila will be suspended starting March 15, and mass gatherings have been banned.
Philippines: Rodrigo Duterte announces lockdown of entire Metro Manila
"
"196","Philippine President Rodrigo Duterte announces a halt on domestic land, sea and air travel to and from Manila

"
"197","Philippines President Duterte places the capital region on a lockdown for a month to help contain the outbreak of the coronavirus "
"198","Philippines’ Duterte announces ‘lockdown’ of Manila to fight coronavirus "
"199","COVID-19 in Philippines today:

1. Officially a pandemic
2. Code Red Sublevel 2 (Evidence of community transmission)
3. Metro Manila lockdown (land, sea, local air travel) starting March 15, suspension until April 12

Observe hygiene, stay updated, be vigilant but don't panic."
"200","Duterte puts Philippines capital on lockdown ‘to stop spread of coronavirus’ "
"201","They got Manila &amp; the NCR in the Philippines on lockdown, this means that many of the poor will starve or be persecuted by cops if they try to find food. duterte says he may have to ask China to step in &amp; help. The disease is not as bad as the politics. Pray for the Philippines."
"202","Philippines' Duterte announces 'lockdown' of Manila to fight coronavirus "
"203","Philippines' Duterte Announces 'Lockdown' of Manila to Fight Coronavirus "
"204","China - Lockdown 
Italy - Lockdown 
Denmark - Lockdown 
Ireland - Closes schools and bans mass events
US - Bans flights from Europe &amp; closes schools. 
Philippines- Martial Law

WHAHAHAHHA wtf People!?"
"205","ive mentioned to some friends that my main worry about the situation is when you travel and get locked out/in bc of the travel bans and guess what manila's going into lockdown and my mom's in the philippines"
"206","Philippines’ Duterte Announces Lockdown Of Manila To Fight Coronavirus "
"207","""Community quarantine is hereby imposed in the entirety of Metro "
"208","Philippines President Duterte places the capital region on a lockdown for a month to help contain the outbreak of the coronavirus "
"209","So one of my staff is flying to the Philippines tonight. Philippines have announced a country lockdown until April 12th meaning he'd be unable to leave. Anyone else find themselves in a similar situation?"
"210","Land, domestic air, and domestic sea travel to and from Metro Manila shall be suspended beginning March 15, 2020 until April 14, 2020
"
"211","LOCKDOWN in Metro Manila for 30 Days because of COVID-19, could leading result to PANIC of many and the Economy of the Philippines will be in Jeopardy."
"212","""Land, domestic air, and domestic sea travel to and from Metro Manila shall be suspended"" - The Philippines capital is being put under lock down.
"
"213","Philippines President Duterte places the capital region on a lockdown for a month to help contain the outbreak of the coronavirus "
"214","ITALY, a very prominent and developed country have lockdown their country to stop spread the virus.

PHILIPPINES, lockdown implementation limits only to Metro Manila and risk exposure of Filipinos in other provinces and area.

hay."
"215","If u are to lockdown Manila, and no DOMESTIC fljghts or sea travel would be allowed ,Y NOT BAN ALSO OR LOCKDOWN PHILIPPINES FROM OTHER COUNTRIES? ANO? IF U, GOVERNMENT R SERIOUS ABOUT THIS, DAPAT INUNA NYONG LOCKDOWN BUONG PILIPINAS AT WAG MAGPAPASOK NG FOREIGNERS!
"
"216","Duterte puts Philippines capital on lockdown ‘to stop spread of coronavirus’ "
"217","Philippines: Manila lockdown. President announced halt of domestic travel from and to the capital, and quarantine measures. "
"218","Philippines' Duterte announces 'lockdown' of Manila to fight coronavirus "
"219","Philippines - COVID-19: Metro Manila on lockdown, including halt on domestic air travel 15 March - 14 April "
"220","Nasa foreign media na capital of the Philippines in Lockdown <U+0001F615>"
