"","x"
"488","Philippines be preparing for lockdown. Bah mati la ni"
"489",""
"490",""
"491",""
"492",""
"493","Apparently, there's this IATF Resolution circulating re: the possible "
"494","is the entire Philippines on Code Red Sublevel 2 and on "
"495",""
"496",""
"497",""
"498",""
"499",""
"500",""
"501","JUST IN: The Department of Health (DOH) confirms another 3 cases of "
"502",""
"503",""
"504",""
"505","Possible lockdown "
"506",""
"507","Are we on lockdown? Is the Philippines on lockdown? My mom says we are but she'll believe anything on social media. So what the tea, Twitter?"
"508","Just realized something. Italy was put into lockdown after their COVID-19 cases rose to thousands. And here we are in the Philippines, 49 cases so far and people are already thinking about lockdown ng Metro Manila. <U+0001F926><U+0001F3FB><U+200D><U+2640><U+FE0F>"
"509","Possible things that can happen when their is a  "
"510",""
"511",""
"512","Philippines National Capital Region to be on lockdown starting tonight due to "
"513","Let me go home first then after that you can lockdown the entire Philippines. <U+0001F486><U+0001F3FB><U+200D><U+2642><U+FE0F>"
"514","Doc pelligro: “This maybe our last moving exam before the whole philippines goes into lockdown”"
"515",")philippines lockdown"
"516",""
"517",""
"518",""
"519",""
"520","It's been exactly six weeks since the first case was reported in both Philippines and Italy.

Italy now has 
• 12,000+ cases
• 820+ deaths
• 1,000+ in serious condition
• Lockdown nationwide

Philippines has
• 49 cases
• 2 deaths

<U+0001F643>"
"521","South Korea has 7,755 "
"522","""...and "
"523",""
"524","Hello Philippines pls lockdown asap "
"525",""
"526",""
"527","As stated by the Department of the Interior and Local Government, there are no confirmed news regarding the lockdown of Metro Manila and other covid-hit areas.

Source: "
"528",""
"529",""
"530",""
"531","THANK YOU FOR LISTENING. THE CASES FOR COVID-19 IN THE PHILIPPINES ARE GETTING HIGHER REAL QUICK. EVEN THE PRESIDENT SAYS HE WOULD MAKE METRO MANILA HAVE A LOCKDOWN IF THINGS BECOME REALLY BAD. "
"532","I've been following COVID2019 confirmed cases here in the Philippines. Last night I slept with 10 cases. Woke up with 24 cases and now, it's 33.

Worst to happen~ Metro Manila lockdown for a week or more."
"533","<U+2066>"
"534",""
"535",""
"536",""
"537",""
"538","Philippines need a lockdown"
"539",""
"540",""
"541",""
"542","Whole Italy on lockdown. So Philippines, what's your move? <U+0001F9D0><U+0001F1F5><U+0001F1ED>"
"543",""
"544",""
"545",""
"546",""
"547","I am for the lockdown of the Philippines. No one in and out."
"548",""
"549",""
"550","NCR Philippines possible lockdown due to COVID-19
"
"551","CNN Philippines: Lawmaker suggests Metro Manila lockdown as coronavirus spreads.
"
"552",""
"553",""
"554",""
"555",""
"556",""
"557","hey philippines, why not a complete lockdown and quarantine?"
"558",""
"559",""
"560","Pleaseeeee no more cases for tomorrow <U+0001F64F> "
"561","It has begun.

"
"562",""
"563","any updates from cebu? "
"564","I mean. Why tho? I just dont understand! Why!?? "
"565","This is the start. "
"566","From 98 to 111 <U+0001F926><U+200D><U+2640><U+FE0F> "
"567","Hindutwa is not a religion it is the way of life<U+0964> Today it is prooved globally "
"568","i'm not here for "
"569","People in china and s. Korea are protective with their suit against the virus. Meanwhile, in the philippines... They're like going to some war.  "
"570","Yung ihahatid mo na siya pero hanggang border ka na lang HAHAHA

in light of the lockdown for "
"571","98 total "
"572","I want to start my "
"573","let the game begin!

"
"574","Should Nancy pass a bill allowing people to buy "
"575","~LAST TWO MI-NUTES!~ "
"576",""
"577","111 "
"578","I propose Mindanao separate from the Philippines <U+0001F923> "
"579","Out of "
"580","Hey kids! "
"581","From "
"582","Few hours to go before the official lockdown in Metro Manila RE: "
"583","Philippines, are you ready? <U+0001F1F5><U+0001F1ED> 
Together, let's defeat "
"584","Texas governor waives trucking regulations to help keep supplies stocked
.<U+0001F6A8><U+0001F6A8><U+0001F6A8>
Corona Live Updates -- "
"585","Switzerland bans public gatherings of more than 100 people to curb coronavirus spread
.
Corona Live Updates -- "
"586","Corona caused fights at US stores
.
Corona Live Updates -- "
"587","Italy shuts down most civilian flights
.<U+0001F6A8><U+0001F6A8><U+0001F6A8>
Corona Live Updates -- "
"588","Planes turn around mid-air because of flight restrictions
.
Corona Live Updates -- "
"589","Iran’s military to enforce cyber monitoring and closure of public spaces
.
Corona Live Updates -- "
"590","Seville suspends Easter procession due to coronavirus concerns
.
Corona Live Updates -- "
"591",""
"592",""
"593","Stay strapped and double tap.

"
"594","WEDDING VIDEO HIGHLIGHTS of Sarah Lahbati &amp; Richard Gutierrez "
"595",""
"596","Omololo "
"597","""So I was thinking..U know how U buy me those little bottle of hand santizers that I don't use. maybe this weekend U can help me set up an Ebay account &amp; I can sell them 4 $25 a pop ""
-Benjamin 13yrs

"
"598","Home quarantine w "
"599","Responding in FAITH is NOT equivalent to ""WALA AKONG PAKE"" :) "
"600","Coronavirus update in North Korea:

08:03: 1

08:04: 0

09:24: 1

09:25: 0

11:58: 1

11:59: 0

16:13: 1

16:14: 0

 "
"601","PASAWAY Only In The Philippines.
"
"602","Not a medical officer or even a field medic in sight. This is the gov's response to "
"603","Neymar's Family <U+2605> 2020
"
"604","Sino may books??? "
"605",""
"606","<U+0001F637><U+0001F927> starter pack.. self-quarantine starts.. so help me God.

"
"607","How about this ere "
"608",""
"609","KINGDOM SEASON 3 

"
"610","Stay at Home "
"611",""
"612","Home Quarantine instructions
"
"613",""
"614",""
"615",""
"616","We need a stimulus against "
"617","And this is where we are. "
"618","WORLD TOUR KA GHORL "
"619","Also, call your Senators &amp; Representatives &amp; tell them you need them to co-sponsor "
"620","From 98 to 111 . This is very alarming.. keep safe PH Pearls!<U+0001F49C> "
"621","KEEFSAFE EVERY ONE
"
"622","Prayer for our frontliners!<U+0001F1F5><U+0001F1ED> "
"623","The JAZZ must waive Rudy Gobert "
"624","Implementation of social distancing in our condo. <U+0001F44D>

"
"625",""
"626",""
"627",""
"628",""
"629",""
"630",""
"631",""
"632","UN launches COVID 19 response fund "
"633","Australia, Sidney 

Pilot writes in the Sky” Wash Hands”

"
"634","Italian cafe delivers on Hand shovel 

"
"635",""
"636","At least it’s not used "
"637",""
"638",""
"639",""
"640",""
"641","Covid-19 is now PENDAMIC <U+0001F975><U+0001F975><U+0001F975>
"
"642","Mom: bakit ka pupunta gym? Bawal nga social gatherings diba?

Me:??? Its the gym??

Now i dont know how im gonna earn my badge <U+0001F624> "
"643","26 mins til Lockdown "
"644","Let's show our healthcare warriors that we have their backs! "
"645",""
"646",""
"647","I am still hearing folks say that "
"648","Sisodia demands GST council to discuss corona
"
"649","We need to bring aviation turbine fuel under GST: Puri
"
"650","The fvck is happening 
"
"651",""
"652",""
"653",""
"654","With "
"655",""
"656","Ah here <U+0001F602><U+0001F602> "
"657","Saucy Nancy has her mask on already... "
"658",""
"659","Instead of making a rally why don't y'all just stay at home??

Now I know that there's a HUGE difference between being ""MAKABAYAN"" at ""BAYANIHAN""

"
"660","<U+0001F440> Not Corona again. <U+0001F926><U+200D><U+2640><U+FE0F><U+0001F9A0> "
"661",""
"662",""
"663",""
"664","This is literally KASARAKAN for not having the high quality healthcare system in PH.<U+2639><U+FE0F> "
"665",""
"666",""
"667",""
"668",""
"669","When you buy the Fomo <U+0001F606> 

"
"670","What "
"671",""
"672",""
"673","Just cause theres no "
"674",""
"675","Plan B! "
"676","Skelly duty starts tom. "
"677",""
"678","Spread the word
"
"679","I got an SMS advisory from NTC re "
"680","We should all be Patients Under Monitoring (PUM) "
"681","ANO BA TALAGA?

To clarify. 

Curfew hours in NCR will be imposed ONLY with a signed ordinance.

DILG Usec Malaya says curfew “will push through on Monday as soon as the ordinances are passed by their respective city councils.”

"
"682",""
"683","Life will go back to normal soon. "
"684","Administration order from Commissioner Karachi on "
"685",""
"686","From 98 to 111 realquick :(

"
"687",""
"688","Stay indoors!!! "
"689",""
"690",""
"691","Sa mga 111 na may "
"692","My hands have witnessed more alcohol in the last 3 days than my liver ever has! 

"
"693","The 107 year old "
"694",""
"695",""
"696","God has plan
"
"697",""
"698",""
"699","Aw From 98 to 111 "
"700","Re "
"701",""
"702","40 minutes to Manila Lockdown. "
"703",""
"704",""
"705",""
"706",""
"707","I know the "
"708","Diagnostic tests of Corona virus is free throughout the Country: Dr Zafar Mirza "
"709",""
"710","From 98 to 111 "
"711","The world isn’t flat after all <U+0001F637> <U+0001F62C><U+0001F605>

"
"712",""
"713",""
"714",""
"715","[HEALTH ADVISORY] 
Home Quarantine
"
"716","The "
"717","STAY HOME!  "
"718",""
"719","With the "
"720","Am I the only one this is obvious to? China caused the "
"721",""
"722","THERE YOU GO, GUYS! GOD HELP US ALL. "
"723",""
"724","Outside the country, some people actually believes that Covid19 was named after Kobe Bryant or from a hebrew term kobe. WTF?! 

FYI CoViD19 literally means COronaVIrusDisease 2019. 

  "
"725","Just finished Kingdom... and then this... 

 "
"726","“Don’t make the same mistakes like we did here in Italy.” — Milan-based Pinay writes open letter to Filipinos back home

"
"727","111 cases na <U+0001F97A> "
"728","When I wanted President Duterte to succeed sa 5 minutes from Cubao to Makati, this wasn't what I meant.

Buti na lang I didn't want Obosen to happen to begin with. Ayoko ng The Purge.

"
"729",""
"730","They don't allow ppl to bring their pets with them, so they left their pets in the bus terminal. Fvck. "
"731","Zambales can't relate
"
"732","Introducing "
"733","Introducing "
"734","From 98 to 111 "
"735",""
"736",""
"737",""
"738","I could get "
"739","What i can say about "
"740","Imagine how much more "
"741","Can "
"742","Posted a sign on our door, telling people to wash their hands before they enter or use the wipes in the table. This "
"743","We can reduce the spread of "
"744","<U+0001F644>.  ..  <U+0001F987>+<U+0001F40D>=<U+0001F912><U+0001F927><U+0001F637><U+0001F480><U+0001F631><U+0001F631><U+0001F631>
orrrr  is  it  something  far  more  "
"745",""
"746","Just a daily reminder that "
"747","Inked<U+0001F60E> "
"748","How does the "
"749",""
"750","We caught the "
"751","KeepSafe Everyone

"
"752","Reminder in this trying times of "
"753","Meanwhile, let us also help by donating in whatever amount we could. Every peso counts.

"
"754","Thermometer for "
"755",""
"756",""
"757",""
"758","Hey "
"759",""
"760",""
"761","Can we have the mindset of kids in this trying times? "
"762",""
"763","Perspective, Practicality and Prayer Amid "
"764",""
"765","Travis_mike x Mistafrixion x Lyrics i - nfonin "
"766","Cagayan de Oro City DV Soria on a Saturday night. "
"767",""
"768","To our friends &amp; families,

Most of us here in Batangas are ok. This is just part of the preventive measures to contain the virus. 

Let us all be safe. And we will all be reunited again. "
"769","So if your "
"770","IPATUPAD na ang "
"771","Humidifier x Green cross <U+0001F637>  "
"772","Person of the Year should be medical personnel "
"773","111 cases "
"774","98 cases "
"775",""
"776","<U+2764><U+FE0F> text me <U+0001F92B>"
"777","C'mon, just do your part as a citizen of this country. Dami niyo reklamo.
"
"778","This is where the armed forces should come in. "
"779","Istaph! "
"780","Don't cause any harm for your benefit. "
"781",""
"782","Pakischedule na ang virtual people power! "
"783",""
"784","""Pasig City"" "
"785","House itinerary. <U+0001F602> "
"786","Do people really think PNP and AFP aren't necessary during this "
"787",""
"788","Spare us O Lord. "
"789","111 as of 9 PM <U+0001F614>. "
"790","FROM "
