"","x"
"47","These convos I have been having regarding lockdown/community quarantine is kinda freaking me out now, I feel like we’re on a Netflix series, deym!!! "
"48","PLEASE COOPERATE PHILIPPINES <U+0001F1F5><U+0001F1ED>

Pag sinabing lockdown, lockdown. Wag munang pumunta sa crowded places. It's a matter of defending you from COVID-19. Remember Italy and China but THEY HAVE STRONG HEALTHCARE SYSTEMS!"
"49","First, ginamit yung community quarantine instead of lockdown, next curfew instead of Martial Law. Philippines ano na? <U+0001F61E><U+0001F1F5><U+0001F1ED> "
"50","Filipinos be like ""Govt is not doing anything,its too late""After the lockdown ""so how would this help in containing the virus?This is Martial Law!""ME: SO ANO PA BA TALAGA GUSTO NATIN? <U+0001F926><U+200D><U+2640><U+FE0F> in times like this,ALL WE NEED IS C.O.O.P.E.R.A.T.I.O.N. "
"51","With the lockdown in Manila and a curfew being enforced, my parents and older relatives have shared that they’re genuinely experiencing PTSD symptoms from the days of martial law in the Philippines."
"52","The impending lockdown in the Philippines: good intention, bad execution. Cities will go on lockdown yet workers based in other cities will be allowed to go to work as a basic necessity for survival. Clearly, the government will not be able to provide for the millions of workers."
"53","To all my choirmates in the Philippines at sa mga mahihilig kumanta, sing like the Italians do while on lockdown. :)

God is greater than this virus! :)

"
"54","WATCH TO END: A line of fully-laden shopping trolleys snakes around this "
"55","Please help me with my flight from Manila, Philippines. Facing lot of issues due to the lockdown "
"56","news in the Philippines be like<U+0001F926><U+0001F3FB><U+200D><U+2640><U+FE0F>
jollibee ung isa<U+0001F923>

"
"57","I guess I'm NOT driving to Manila this weekend. Hope I may get a Hotel Refund.
Duterte places Metro Manila on 'lockdown' due to COVID-19 "
"58","You're in Metro Manila and can't go to the beach because of the upcoming lockdown? You can instead imagine the sand and the waves while listening to this! My summer track ""Laze"" is now on Spotify! 

"
"59","The other day, our president announced that he would be locking down Metro Manila, to hopefully keep COVID-19 from spreading to other provinces in the Philippines. This supposed lockdown will start tomorrow, March 15. "
"60","The President of the Republic of the Philippines and the IATF said Community Quarantine. But the MMDA &amp; Metro Manila Council have another agenda which is ""Lockdown"" per se."
"61","With this capital wide lockdown happening here in the Philippines, I'll be working a lot to finish a bunch of projects! Will continue living to be a heritage for the next month till this whole situation goes under… "
"62","Stay safe minna... Our city is on lockdown.. Metro Manila Philippines.. stay safe.."
"63","do u guys know that the metro manila (in the philippines, consists of 17 cities) is under lockdown and everyone is just at their homes to do social distancing and basically do quarantine. please pray for us <U+0001F97A><U+0001F622>"
"64","Not Lockdown, but Community Quarantine.
Watch it! - "
"65","Remember when the people from Wuhan tried to flee before the lockdown? That’s exactly what is happening in the Philippines right now. So good luck spreading the virus, people. <U+0001F495>"
"66","Philippines vacation cancelled because Manila is on lockdown for the coronavirus. After more than a dozen calls, hang ups, on hold music, getting hung up on, we FINALLY reached a live person at chase travel "
"67","Let’s not call it a lockdown okay? Philippines can’t afford a lockdown like how Wuhan and Italy is doing. A lockdown means people aren’t allowed to go out of their houses and the government will provide them everything. Lol the Ph government can’t do that shit."
"68","Quarantine over for me,filipine going lockdown.Hope I can get home on the date but that ain’t looking like it’s gonna happen could be stuck in a lot worse place, it’s 35C, suns cracking the flags and got a beautiful woman at my side and all my music gadgetry :) PHilippines <U+2764><U+FE0F>"
"69","is positive or not from the virus. We have no means to deliver samples to and from because of the lockdown. We don't even have enough funds to sanitize major public places. Philippines having 100M population has only secured about 5k testing kits +"
"70","I understand why NCR must be on lockdown, but why must our health and safety come at the price of the freedom of our fellow countrymen? At the price of their happiness? "
"71","I was goning to work rant rn cause our school board is all over the place rn but
In the Philippines merto Manila is aboit to go into A WHOLE MONTH lockdown
My grandmother lives there and we sent money so they can quick get food at the market but you know what happens?"
"72","my lolo &amp; his brother supposed to go back to philippines tomorrow &amp; my lola is going cali but it got cancelled since the airports are lockdown as well, hays ncov anona"
"73","There is a rapid rise in the  number of cases of COVID 19 here in the Philippines. Sana naman magdeclare na rin ng lockdown ang mga LGU especially those with 0 cases pa. Prevention is better than cure nga diba."
"74","Manila is on community quarantine; a nice way of saying ""lockdown"". No land, sea or air transport will be allowed going into or out of the capital of the "
"75","Philippines main island rumoured now to just go under full lockdown. 64 total confirmed cases and they’ve already taken the right action. Come on the UK "
"76","PRAY FOR THE PHILIPPINES

"
"77","cw // covid-19

hey y'all i'm gonna be ia for about a month. because of the recent rise in covid-19 cases in the philippines, our president decided to put metro manila on lockdown (not really sure if it is a lockdown or just a community quarantine)."
"78","Praying my family stays safe out in the Philippines since the president had a lockdown from all flights entering/leaving"
"79","Lockdown in the Philippines for a month, does that mean it’s 7th heaven marathon time? "
"80","The best example for defeating "
"81","Live music venues in Manila shut their doors, take safety precautions in NCR ""lockdown"" "
"82","Philippines suspending classes, provinces, cities and towns going on lockdown...

STAY SAFE EVERYONE!"
"83","Trade Union Congress of the Philippines (TUCP) calls on President Duterte to provide financial support to daily-paid and ""no-work, no-pay’ employees who might be affected should the "
"84","LOOK: The League of Municipalities of the Philippines on Friday’s meeting, recommends to Iloilo Gov. Arthur Defensor, Jr. and the Regional Development Council for the lockdown of the Panay Island to prevent the possible spread of Covid-19 disease. | via "
"85","Hold it! Lemme get this right. I thought we’re talking of a lockdown or quarantine because of the "
"86","toodles, philippines <U+2708><U+FE0F> so glad to get out before the lockdown <U+0001F9A0> can’t wait to be back stateside <U+2600><U+FE0F> "
"87","Hello! I am a freelance journalist and photographer. I just touched down in Manila again and as it’s soon to be under lockdown, I have lots of story ideas to keep me busy. Let me know if you are open to pitches on the "
"88","I'm ready for the "
"89","It's a sad fact that the Philippines could not afford to lockdown and free everyone from their home-facility bills like other countries<U+0001F622>"
"90","I'm noticing a 20% increase in web traffic ever since the lockdown announcement "
"91","So many impacts across the globe... This is going to have a huge impact on the BPO and CX industry. Safety and health is most important but response and contingency plans are important. If you need tips... DM me "
"92","Ready or Not
.
.
.
lockdown tayo chour! "
"93","Hope this lockdown will effectively contain the Covid-19 virus... hope the virus dies out na... looking forward and praying for a renewed Philippines <U+0001F64F><U+0001F3FC>"
"94","Well, I guess the lockdown will gonna happen in the Philippines at 12:00 am(UTC time) <U+0001F631>"
"95","Are authorities capable in screening thousands or perhaps millions of workers coming in during the quarantine period? "
"96","THREAD:

Lots of questions still about specifics of Metro Manila, "
"97","So there is indeed a mass exodus out of Manila happening now. This is exactly how the coronavirus spread out of Wuhan, remember? When 5 million people left Wuhan shortly before lockdown, yes? Best of luck, God bless the Philippines."
"98","Major highways into and out of Manila, Philippines, jammed on eve of lockdown of the city with population of 12 million. "
"99","On our way back from the Philippines to Germany. Right before the "
"100","Pray for our country :(
Philippines getting lockdown in march 15 2020!
"
"101","Indonesia now has more confirmed cases than the Philippines, who has issued a lockdown of Metro Manila. Meanwhile, the govt refuse to even consider a lockdown. Amazing."
"102","Manila, Philippines were now on lockdown. Be safe everyone. Stay healthy. "
"103","DO NOT TRY TO CONTACT PHILIPPINE AIRLINES their customer service is on lockdown If you need to fly to the Philippines this is the very LAST airline you should spend your money with"
"104","On March 15, we in Manila Philippines will join team Wuhan in being locked down from the rest of the world to prevent the spread of Corona. Let's celebrate with a Corona beer and sing a happy lockdown day!
"
"105","-so here in Philippines we have a lockdown and no classes until april 12 so I will learn to edit pics"
"106","Phillippines mission on lockdown in New York after diplomat tests positive for coronavirus
A female diplomat to the Philippines who was at the United Nations (U.N) in New York on Monday has tested positive for coronavirus, according to multiple reports.
"
"107","Athletes of Polytechnic University of the Philippines (PUP) Sta Mesa, who are residing inside the campus are in need of food supplies and financial assistance to sustain their needs for a month-long lockdown (March 15 to April 14) in Metro Manila as announced yesterday, March 12. "
"108","I really sad when I hear <U+0001F62D> ""President Duterte declares lockdown Metro Manila for 30 days due to COVID-19"" 
.
I'm so glad, I'm already here in Indonesia. Nearly a month I returned from the Philippines, and had passed… "
"109","Philippines Permanent UN Mission in New York ""in lockdown"" and all personnel instructed to self-quarantine after staff member tests positive for COVID-19 coronavirus: Reporter via Twitter."
"110","People of Metro Manila (Philippines), what will be implemented is COMMUNITY QUARANTINE and not a lockdown. 

Stay Safe God Bless :)"
"111","Di ko makita yung point for comparing Singapore not opting a lockdown vs Philippines(Metro Manila) lockdown

In the first place, the main source of income ng Singapore are from tourists, their natural resources(water,etc) comes from outside parties. Di talaga pwedeng option yun"
"112","With more than 12 million people, Metro Manila accounts for 40% of the Philippines’ GDP, a figure that rises to nearly two-thirds if you include surrounding localities, ING's Nicky Mapa said.

"
"113","A Philippine diplomat in New York has tested positive for Covid-19, in the first recorded case at the UN headquarters.

This comes as Philippines President Rodrigo Duterte placed Manila in a lockdown for a month, to help contain the outbreak. "
"114","Diplomat from the Philippines to the United Nations tested positive for "
"115","Phillipines has locked down the greater Manilla province, blocking domestic travel. Foreigners from at-risk countries blocked. SG detected imported cases from the PHthis week. 2000 test kits available for the whole country atm. "
"116","Currently, i heard that Pasig in philippines had a lockdown yesterday so like just stay home and yeah WASH UR FRICKIN HANDS

"
"117","In the meantime in the Philippines, the president declares a lockdown and everyone is running like headless chickens. "
"118","Panelo: The President has said it's not the time yet for a lockdown 

Health Secretary Duque earlier raised the possibility of declaring a localized lockdown on areas with significant number of coronavirus cases "
"119","Cabinet Sec. Nograles: This is not a lockdown, it’s a community quarantine. Ide-define namin ito mamaya "
"120","Is it a lockdown? Community quarantine? MMDA calls it a 'slowdown' 

General Manager Jojo Garcia: There's a slowdown in movement in Metro Manila. Pag lockdown kasi, parang kinulong ka sa bahay eh. But with this, you're allowed to go out "
"121","Quezon City Mayor Joy Belmonte admits there are 'gray areas' in President Duterte's declaration of community quarantine in Metro Manila, adds local officials will meet today to craft lockdown guidelines "
"122","Quezon City Mayor Joy Belmonte admits there are 'gray areas' in President Duterte's declaration of community quarantine in Metro Manila, adds local officials will meet today to craft lockdown guidelines "
"123","Fellow expats Metro Manila will be on LOCKDOWN for one month starting 15th March. President Duerte has so ordered. Why is God not helping us. What will happen to the Philippines. God help us all!!
"
"124","AirAsia Philippines cancels all domestic flights in NAIA from March 15-April 14 due to Metro Manila lockdown. Passengers can rebook, refund and get credits without penalties

Local flights from Clark, Cebu &amp; Kalibo will continue. | "
"125","AirAsia Philippines cancels all domestic flights in NAIA from March 15-April 14 due to Metro Manila lockdown. Passengers can rebook, refund and get credits without penalties

Local flights from Clark, Cebu &amp; Kalibo will continue. "
"126","Family and friends in Philippines <U+0001F1F5><U+0001F1ED> stay safe guys

"
"127","This is how a lockdown should be.
A very proactive president. 
 
"
"128","PH Mission staff has tested positive for COVID-19. She is currently isolated, in good condition. PH Center is on lockdown indefinitely, employees instructed to self-quarantine &amp; seek medical attention should symptoms develop. "
"129","I wish people would cooperate na lang with the lockdown (or whatever they want to call it). Just imagine a whole metro with almost 13 million people in it being infected. Iilan lang ang ICU per hospital. It would be impossible to accommodate all patients. "
"130","""The crisis is very, very clear, COVID-19 is spreading all throughout the country including the Philippines.""

I think he meant China when he said ""the country"". 

Also, it is a lockdown. "
"131","""It's just a matter of protecting and defending you from COVID-19. That's about it."" "
"132","manila will be lockdown or lighter term of self quarantine <U+0001F616>. let see what will happen to the economy of Philippines after this hahaha.

but after all, i am agree to do a total lockdown"
"133","If I have a flight booked to the Philippines and the country bans me from entering due to this coronavirus lockdown, am I entitled to a refund on my flight? <U+0001F626> "
"134","There are places in the Philippines na ga lockdown na, keep safe everyone!"
"135","Ha, I am on an Australian volunteer assignment in rural Philippines. Just started and now there is a Manila lockdown.
Just waiting for news on ""the plan """
"136","Panic buying mode ng mga Pinoy

Others' cart: alcohol, bleach, vitamins, food supplies, cleaning supplies

Mine: kape for 1 month.

"
"137","Heard the news:
Metro Manila is lockdown. God please protect them, entire Philippines and entire Earth <U+0001F64F> <U+0001F64F> <U+0001F64F>"
"138","MANILA, March 12 (Reuters) - The Asian Development Bank closed its headquarters and the Philippines senate went into lockdown on Thursday, after visitors to both buildings in Manila tested positive for the coronavirus."
"139","Lockdown na hindi naman lockdown <U+0001F602>
It's more fun in the Philippines <U+0001F602>"
"140","Some people tell that year 2020 is a fruitful and bountiful year for everyone because it's definitely symbolize as normal vision. Indeed, I do believe that all our crisis and difficulties is under in God's hand 

"
"141","We will have trouble in this world. But God’s promise to us is that even in our times of trouble and strife we can have peace. His peace. A peace that passes all understanding. 
"
"142","the Philippines is on lockdown starting Sunday n I’m glad I got out when I did<U+0001F62D>"
"143","OBEY+FOLLOW+AWARENESS+TRUST= PROTECTIVE GEARS FROM COVID-19 
"
"144","Philippines really got the corona on lockdown, someone takes a temp reading of you whenever you enter a large public space, even whenever you enter a condo/apartment complex"
"145","Metro manila,philippines 1month lockdown due to covid19 stay hydrated and drink a lot of vit.C and other immune system boosters eat healthy live healthy and always have faith above stay safe guys!.

"
"146","So...to all my friends not in the Philippines: we are going on lockdown effective 15 March. Schools will also be closing. 

There is a clamor for additional implementing details. It is hoped these will be issued soon.

Meantime..."
"147","“Community quarantine” stay at home and find ways to survive.  
<U+0001F19A> 
“Lockdown” stay at home and the government will provide basic needs to survive. 
 
Mahirap talaga maging mahirap na bansa.<U+0001F61E> 

"
"148","Well blaming someone wont solve this pandemic. Just follow and keep healthy guys. "
"149","Please read this article carefully. This has lots of good information for us not to panic. Be vigilant &amp; impart our own share of compassion &amp; understanding of this global crisis.
"
"150","The only clear message from "
"151","Am i going to Philippines or not? I only have an hour to decide. can somebody help me, im so confused cause I still need to go back to my work after a week... Is manila under lockdown or just community quarantine? Ang gulo talaga ng m "
"152","we’re doing the same in lebanon with only 70 cases, same in italy, france will soon be doing it, philippines as well, you’re not immune to this and this is not a misinformation, if the virus spreads the USA will be having a lockdown "
"153","My country, Philippines, will lockdown the National Capital Region to Provinces for 1month.  I live in nearby province.. <U+0001F622> I'm thankful I mostly WFH... 

Take care everyone. Wear mask and even sunglasses and gloves. Wash hands. Eat a lot of Veggies and Fruits and Take Vitamins."
"154","Other countries, even China that Duterte so reveres, focused all investments and support to healthcare to fight COVID-19.

Meanwhile, the president of the Philippines deploys military troops amid "
"155","Lockdown in the Philippines: militarization &gt; accessible healthcare "
"156","Seriously, People of the Philippines. Will you PLEASE, STOP using the word "
"157","US would ban many foreign travelers from most of Europe over the next 30 days

Philippines placing Metro Manila under lockdown/ community quarantine 

China/ Italy still on citywide lockdown

South Korea utilizing mass testing, &amp; advanced technology, etc"
"158","Lock down in the Philippines... I hope everyone is safe <U+0001F64F><U+0001F3FB> unfortunately the lockdown is right during my plans :( I’ll see you PH peeps soon <U+0001F64F><U+0001F3FB>"
"159","Philippine President Rodrigo Duterte announced a halt on domestic land, sea and air travel to and from Manila, as well as community quarantine measures, in what he called a lockdown of the capital to arrest the spread of coronavirus
"
"160","MANILA
The Asian Development Bank closed its headquarters and the Philippines senate went into lockdown on Thursday, after visitors to both buildings in Manila tested positive for the coronavirus."
"161","I just paid a grand for my ticket back home.. now philippines is on lockdown. ARE YOU KIDDING MEEEEEEE."
"162","China, Italy: Lockdown
Philippines: Community quarantine"
"163","The Philippines is like Mexico. Too Latino. People pulling each other down instead of lifting each other up.

"
"164","<U+203C><U+FE0F> <U+203C><U+FE0F> <U+203C><U+FE0F> <U+203C><U+FE0F> <U+203C><U+FE0F> <U+203C><U+FE0F> <U+203C><U+FE0F> <U+203C><U+FE0F> <U+203C><U+FE0F> <U+203C><U+FE0F><U+203C><U+FE0F>
Please take time to read especially those who live in the Philippines. 

"
"165","Philippines, have just over 50 confirmed cases of "
"166","like srsly WTF? I'm not suggesting lockdown nor want to extend the class suspension,  how can we be 100% sure that these ppl in other places in philippines are not affected by the COVID19?"
"167","Well shit, now my moms got 2 days to find a flight back to America before they lockdown the airport in the Philippines for a month <U+0001F643>"
"168","Keep safe everyone!<U+0001F64F>

"
"169","Pray before sleep<U+0001F60A>

"
"170","If you are here to read more about the 30-day community quarantine, then you can further read these articles

"
"171","Filipino Twitter! Does ANYONE know if the lockdown that was announced is solely for domestic flights and NOT international travel. I can’t find a straight answer. "
"172","Philippine President Rodrigo Duterte on Thursday announced a halt on domestic land, sea and air travel to and from Manila, as well as community quarantine measures, in what he called a ""lockdown"" of the capital to arrest the spread of coronavirus. "
"173","I badly want to go home and visit our province here in the Philippines, but guess what they suspended airlines/flights huhuu :(( now I'm sad, and they wanted our city to be lockdown for a month :((

Please be safe, everyone!!<U+0001F97A><U+2764><U+FE0F>"
"174","Philippines on lockdown rn, wishing my family the best of luck there <U+0001F64F>"
"175","Since Bong Go went over and beyond and has been very supportive of the President - project GLAM is <U+2705><U+0001F4AF><U+0001F923><U+0001F61C><U+0001F923><U+0001F644><U+0001F923><U+0001F637>

People Of The Philippines, a warm round of applause for the First Lady Of The Republic<U+0001F1F5><U+0001F1ED><U+0001F44F><U+0001F44F><U+0001F44F>

"
"176","prayer:
God our Father
we come to You in our need
to ask Your protection against the 2019 N-coronavirus
that has claimed lives
and has affected many

"
"177","This pandemic will end soon. Have faith and seek guidance from above. <U+0001F64F> Let's pray for the world, let's pray for our beloved Philippines.<U+2665><U+FE0F><U+0001F64F>

ctto
"
"178","Important!
Metromanila, philippines is currently on community quarantine or lockdown for 30 days. We're hope this will not affect our zine schedule. Will tweet further updates if there's any delay :(
Stay safe and wash your hands <U+2764><U+FE0F>"
"179","Still no Coronavirus found in Philipines but  small amount San Miguel Virus found : Duterte announces lockdown of entire Metro Manila, may call on China for help "
"180","Coronavirus: Duterte announces lockdown of entire Metro Manila, may call on China for help | South China Morning Post ~ it’s an executive decision to avert an epidemic. Let’s pray for our health care frontliners and for our country. <U+2066>"
"181","My hometown in the Philippines is now lockdown for 1 month oof we cannot go outside"
"182","Please Lockdown the Entire Philippines "
"183","I live in the Philippines.We have cases of Covid 19 here.Some have died due to the virus. Now Metro Manila is under community quarantine.This is a mild term used rather than lockdown.I pray that we'll get through this.We only need to be aware,well informed &amp; sensitive"
"184","Philippines: 49 cases and 2 deaths. Senate lockdown for disinfection.
121 countries have reported positive "
"185","So my country of philippines is going on high alert now against corona

Manila is about to go into a lockdown, and im about to just shut myself in house.

Stay safe folks"
"186","President Rodrigo Duterte orders a lockdown on Metro Manila (Philippines) amid the Covid-19 pandemic from midnight of March 15 until April 14, 2020. This lockdown, however, is subject to review daily. Philippines have 52 confirmed positive cases and 5 deaths. "
"187","PLEASE LOCK IT DOWN! "
"188","Yes because Singapore's health care management is at its best. On the other hand, the Philippines is not ready for this kind of worldwide public health crisis. For me "
"189","Those who bashed me and called me “bobo” for using the term “lockdown” when in fact it’s really a lock<U+0001F44F><U+0001F3FB>down<U+0001F44F><U+0001F3FB>, please don’t delete your comments. You validated the survey that says Philippines is the lowest in comprehension. <U+0001F926><U+0001F3FB><U+200D><U+2642><U+FE0F> "
"190","I just had a chat with my sister in the Philippines and I just knew Bulacan is now on a lockdown. Please be safe, friends! Wash your hands thoroughly with warm water and soap, use hand sanitizer. It’s better to be safe than sorry."
"191","If Metro Manila is in Community Quarantine... How come workers from outside manila can still get in and out!?

Seems like the plan hasn't got B

"
"192","Im afraid on what's happening in  the Philippines right now. No concrete plans from the govt in terms of health care service that will be provided for COVID 19 patients. Im living in NCR that will be soon lockdown. No available facemask. No available alcohol. Lack of testing kits"
"193","Everybody in metro manila (and the philippines and the world!) stay safe, keep calm and wait for further announcements, and channel your inner introvert for now! even if it seems dire and nobody seems like they know what to do or are doing, we'll get thru this. <U+0001F64C><U+0001F64C><U+0001F64C> "
"194","Metro Manila, a region of over 12 million people, will be placed on lockdown for at least 30 days to contain the spread of the COVID-19 in the Philippines. Let’s take this opportunity to reach to our Lord, for protection, wisdom and strength. <U+0001F496><U+0001F64F><U+0001F3FC><U+2728> "
"195","Let's face it. The Philippines with this administration, cannot afford a lockdown."
"196","As a filipino citizen, all we can do is to obey and pray for the Philippines. "
"197","God bless the Philippines<U+0001F1F5><U+0001F1ED> and the whole world<U+0001F30F>. "
"198","It's confirmed <U+0001F631>   "
"199","If flights has been banned from way back, we shouldn't have been in this situation. Not finger-pointing, just reflecting. We deserve better. I pray for Philippines. I pray for everyone.

"
"200","PDu30 ordered a lockdown for Metro Manila Philippines from March 15 to April 14.  No land, air or sea travel from and to Metro Manila.  Can you at least clarify the guidelines for this executive order specially for us who work in Manila but do not live there. "
"201","looks like i am postponing my trip in manila this april. 
As i just gotten news that Philippines is on lockdown.

Please take care everyone."
"202","PRAY FOR THE PHILIPPINES "
"203","Hello if you could just include Philippines and other countries affected by COVID-19 in your prayers pls. Metro Manila is already in lockdown and i dont wanna creatr fear but this is dead serious, have a good hygine and boost your immune system. Keep safe y'all"
"204","i’m SCARED. the president of the Philippines officially put us on lockdown. nobody can fly in or out of the PI. stay safe everyone fr fr"
"205","Regarding the Metro Manila lockdown. I'd like to confirm if this also covers International connecting flights from Manila to other parts of the Philippines? 

"
"206","here's to hoping that the lockdown would be successful and that nothing bad will happen during the said time period. please kahit ito lang, 2020. help the Philippines and its people."
"207","Philippines President Rodrigo Roa Duterte declares community quarantine in metro manila "
"208","With the Metro Manila lockdown...i know a couple of people who are currently in the Philippines for vacation that should be coming home March 20th...<U+0001F610> so alternative is Clark Airport..?"
"209","Manila is in domestic lockdown. Just domestic. International travel to and from Manila is still ongoing. So the virus will continue to spread if ever. Just being realistic here. And people are gonna be stuck in the most populated area of the Philippines. Great. "
"210","Look - Worldometers adds additional cases of 3 on the Philippines. Now in total of 52
"
"211","So Duterte is trending topic not only in the Philippines but also worldwide. 
"
"212","Palace used the term ""community quarantine"" instead of ""lockdown"" but for me both terms are the same. 
"
"213","Note: this is not to make them sympathize for me or to make them notice me...

I just want to tell some of my most favorite people like "
"214","JUST IN : Metro Manila will be placed on lockdown or COMMUNITY QUARANTINE from March 15 to April 14. No land, domestic air, and domestic sea travel to and from the capital region. - Tatay Digong

God bless Philippines, God bless the whole world. <U+0001F64F><U+0001F64F><U+0001F64F>"
"215","ph president announces lockdown in metro manila even with low numbers of covid19 cases. i think it's a smart move bc bruh the republic of the philippines isn't ready for this. our gov't can't pay for shit especially now that they cut the funds for health by BILLIONS"
